103079329921,114689,103079215232,2
103347765377,114689,103347650688,1
34630271363,34361835778,268435585,2
34634465667,34361835778,272629889,1
34634466179,34361836290,272629889,2
34642854787,34361836290,281018497,1
34642855811,34361837314,281018497,2
34642857859,34361837314,281020545,1
34642857863,34361837318,281020545,2
34659635079,34361837318,297797761,1
34693189511,34395391750,297797761,2
103412666247,34395391750,69017274497,1
103412666255,34395391758,69017274497,2
103412666271,34395391758,69017274513,1
103412682655,34395408142,69017274513,2
103412686751,34395408142,69017278609,1
2147201,2130304,16897,2
270582657,2130304,268452353,1
270648193,2195840,268452353,2
807519105,2195840,805323265,1
807650177,2326912,805323265,2
1881392001,2326912,1879065089,1
4398052819075,2113539,4398050705536,2
4398321254531,2113539,4398319140992,1
4398321254535,2113543,4398319140992,2
4398858125447,2113543,4398856011904,1
4432676831233,34628190209,4398048641024,2
4432676831361,34628190209,4398048641152,1
4432676831363,34628190211,4398048641152,2
4432676831367,34628190211,4398048641156,1
4432676896903,34628255747,4398048641156,2
4432676896911,34628255747,4398048641164,1
4432681091215,34632450051,4398048641164,2
4432681091231,34632450051,4398048641180,1
4432681091263,34632450083,4398048641180,2
4432681091519,34632450083,4398048641436,1
4432681222591,34632581155,4398048641436,2
4501125841024,34359787648,4466766053376,2
4501394276480,34359787648,4467034488832,1
4501394276736,34359787904,4467034488832,2
4501396373888,34359787904,4467036585984,1
4501396374400,34359788416,4467036585984,2
4638835327872,34359788416,4604475539456,1
4638835327873,34359788417,4604475539456,2
4913713234817,34359788417,4879353446400,1
30786331869313,13194141630465,17592190238848,2
30786331869569,13194141630465,17592190239104,1
30786331870081,13194141630977,17592190239104,2
30786331870083,13194141630977,17592190239106,1
30786331871107,13194141632001,17592190239106,2
30786331871111,13194141632001,17592190239110,1
30786331873159,13194141634049,17592190239110,2
30786331877255,13194141634049,17592190243206,1
30786331877263,13194141634057,17592190243206,2
30786331893647,13194141634057,17592190259590,1
13194145841281,13194141630592,4210689,2
13194145874049,13194141630592,4243457,1
13194414309505,13194410066048,4243457,2
13228774047873,13194410066048,34363981825,1
13229310918785,13194946936960,34363981825,2
13229310919041,13194946936960,34363982081,1
13230384660865,13196020678784,34363982081,2
4398046527631,16517,4398046511114,2
4432406265999,16517,4432406249482,1
103349796865,68719525889,34630270976,2
103353991169,68719525889,34634465280,1
240792944641,206158479361,34634465280,2
240801333249,206158479361,34642853888,1
4638847844353,4604204990465,34642853888,2
